Experiment,Strain,Reason,beneficial sectors look like expanding bulges at the front that are not just front roughness,"first look at whole colony images in region imaged. Are there bulges with different shades than non-bulged region under the backlight? If uncertain, then use the brightfield timelapse images to look for bulge in front."
DE3b,1,beneficial sector,,
,4,beneficial sector,,
,5,beneficial sector,,
,6,beneficial sector,,
,10,beneficial sector,,
,11,beneficial sector,,
,12,went out of fov,,
,15,beneficial sector,,
,16,went out of fov,,
,18,beneficial sector,,
,21,beneficial sector,,
,26,beneficial sector,,
,28,beneficial sector,,
,29,beneficial sector,,
,32,beneficial sector,,
,33,beneficial sector,,
,35,beneficial sector,,
,36,went out of fov,,
,38,beneficial sector,,
,40,beneficial sector,,
,41,beneficial sector,,
,42,beneficial sector,,
,45,beneficial sector,,
,47,beneficial sector,,
,48,beneficial sector,,
,51,beneficial sector,,
,56,beneficial sector,,
,59,beneficial sector,,
,62,beneficial sector,,
,63,beneficial sector,,
,64,beneficial sector,,
,66,beneficial sector,,
,68,beneficial sector,,
,69,beneficial sector,,
,71,beneficial sector,,
,73,beneficial sector,,
,81,beneficial sector,,
,82,beneficial sector,,
,83,beneficial sector,,
,84,beneficial sector,,
,86,beneficial sector,,
,87,beneficial sector,,
,90,beneficial sector,,
,93,beneficial sector,,
,94,beneficial sector,,
