Experiment,Strain,Reason
DE4b,0,beneficial sector
,2,beneficial sector
,5,beneficial sector
,7,beneficial sector
,8,beneficial sector
,10,out of focus
,12,beneficial sector
,15,beneficial sector
,18,beneficial sector
,21,beneficial sector
,22,beneficial sector
,32,beneficial sector
,33,beneficial sector
,34,beneficial sector
,37,beneficial sector
,43,beneficial sector
,50,beneficial sector
,51,beneficial sector
,52,beneficial sector
,55,beneficial sector
,56,beneficial sector
,63,beneficial sector
,64,beneficial sector
,68,beneficial sector
,69,beneficial sector
,70,beneficial sector
,75,beneficial sector
,82,beneficial sector
,87,beneficial sector
,89,beneficial sector
,93,beneficial sector
,94,beneficial sector
