Experiment,Strain,Reason,beneficial sectors look like expanding bulges at the front that are not just front roughness,first look at tracks images - does it look like tracks are diverging?,"If uncertain, then look at bright field timelapse images. If still uncertain, look at the whole colony brightfield image."
mrdAa,1,beneficial sector,,,
,2,beneficial sector,,,
,3,beneficial sector,,,
,10,beneficial sector,,,
,12,beneficial sector,,,
,16,beneficial sector,,,
,17,beneficial sector,,,
,18,beneficial sector,,,
,21,beneficial sector,,,
,29,beneficial sector,,,
,31,beneficial sector,,,
,39,beneficial sector,,,
