Experiment,Strain,Reason
mreBa,0,beneficial sector
,2,beneficial sector
,7,out of focus
,10,out of focus
,11,beneficial sector
,13,beneficial sector
,22,beneficial sector
,23,beneficial sector
,24,beneficial sector
,28,beneficial sector
,35,beneficial sector
,42,beneficial sector
,46,beneficial sector
,53,beneficial sector
,54,beneficial sector
,62,beneficial sector
,65,beneficial sector
,83,beneficial sector
,85,beneficial sector
,93,beneficial sector
,94,beneficial sector
,95,beneficial sector
