Experiment,Strain,Reason
mreBb,0,beneficial sector
,2,beneficial sector
,4,beneficial sector
,8,out of focus
,10,beneficial sector
,11,beneficial sector
,13,beneficial sector
,14,beneficial sector
,17,beneficial sector
,22,beneficial sector
,23,beneficial sector
,25,beneficial sector
,26,beneficial sector
,28,contamination
,34,beneficial sector
,35,beneficial sector
,37,beneficial sector
,39,beneficial sector
,40,beneficial sector
,42,beneficial sector
,43,beneficial sector
,45,beneficial sector
,46,beneficial sector
,54,beneficial sector
,62,beneficial sector
,64,out of focus
,65,beneficial sector
,69,beneficial sector
,71,beneficial sector
,72,beneficial sector
,75,beneficial sector
,83,beneficial sector
,84,beneficial sector
,85,beneficial sector
,94,beneficial sector
,95,beneficial sector
