experiment,position,genotype
DE1,0,WT
DE1,1,ada
DE1,2,soxR
DE1,3,uxuR
DE1,4,sdhA
DE1,5,xapR
DE1,6,envR
DE1,7,stpA
DE1,8,tdcA
DE1,9,fadR
DE1,10,treR
DE1,11,cynR
DE1,12,WT
DE1,13,nuoJ
DE1,14,glk
DE1,15,evgA
DE1,16,gnd
DE1,17,aceA
DE1,18,kdpD
DE1,19,nuoG
DE1,20,rstA
DE1,21,rstB
DE1,22,basR
DE1,23,treA
DE1,24,WT
DE1,25,dld
DE1,26,ackA
DE1,27,yfdV
DE1,28,cydB
DE1,29,ypdI
DE1,30,uhpB
DE1,31,lamB
DE1,32,dacA
DE1,33,potH
DE1,34,glpX
DE1,35,nlpD
DE1,36,WT
DE1,37,htpX
DE1,38,pepQ
DE1,39,hyfR
DE1,40,iadA
DE1,41,recA
DE1,42,hisH
DE1,43,yfjL
DE1,44,yebO
DE1,45,yfhM
DE1,46,ycjY
DE1,47,ydaC
DE1,48,WT
DE1,49,ybiA
DE1,50,ylbA
DE1,51,ybjD
DE1,52,yagZ
DE1,53,ybcI
DE1,54,yagJ
DE1,55,ybaN
DE1,56,ybbD
DE1,57,yejK
DE1,58,ycgB
DE1,59,yafT
DE1,60,WT
DE1,61,yafO
DE1,62,yphA
DE1,63,ydiU
DE1,64,ybjE
DE1,65,yeaA
DE1,66,btuF
DE1,67,yeiH
DE1,68,yafP
DE1,69,ddpX
DE1,70,rsxA
DE1,71,ycbB
DE1,72,WT
DE1,73,ybdB
DE1,74,yehZ
DE1,75,yfcG
DE1,76,ycaO
DE1,77,yfeT
DE1,78,ybgC
DE1,79,yfhH
DE1,80,ygbM
DE1,81,yfgA
DE1,82,ygbJ
DE1,83,ydaO
DE1,84,WT
DE1,85,yccM
DE1,86,ycjT
DE1,87,yqcD
DE1,88,ydiP
DE1,89,yaiX
DE1,90,ybaE
DE1,91,mntR
DE1,92,ybhN
DE1,93,ybeX
DE1,94,ycaC
DE1,95,ybaK
DE2,0,ybgJ
DE2,1,wcaI
DE2,2,yqjB
DE2,3,WT
DE2,4,yeiT
DE2,5,yhhW
DE2,6,csdA
DE2,7,yajG
DE2,8,ybaY
