experiment_all,strains_all,radius_all,masscut_all,maxd_all,barrg_all,xmin_all,xmax_all,ymin_all,ymax_all,manually_changed,notes,exclude
DE5d,0,3,300000,15,5,0,1205,781,903,0,,NaN
20200223_2015_DE5d,1,3,300000,15,5,0,1205,781,903,0,,NaN
20200223_2015_DE5d,2,3,300000,15,5,0,1205,781,903,0,,NaN
20200223_2015_DE5d,3,3,300000,15,5,0,1205,781,903,0,,NaN
20200223_2015_DE5d,4,3,300000,15,5,0,1205,781,903,0,,NaN
20200223_2015_DE5d,5,3,300000,15,5,0,1205,781,903,0,,NaN
20200223_2015_DE5d,6,3,300000,15,5,0,1205,781,903,0,,NaN
20200223_2015_DE5d,7,3,300000,15,5,0,1205,781,903,0,,NaN
20200223_2015_DE5d,8,3,300000,15,5,0,1205,781,903,0,,NaN
20200223_2015_DE5d,9,3,300000,15,5,0,1205,781,903,0,,NaN
20200223_2015_DE5d,10,3,300000,15,5,0,1205,781,903,0,,NaN
20200223_2015_DE5d,11,3,300000,15,5,0,1205,781,903,0,,NaN
20200223_2015_DE5d,12,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,13,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,14,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,15,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,16,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,17,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,18,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,19,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,20,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,21,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,22,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,23,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,24,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,25,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,26,3,300000,15,5,0,1205,0,87,0,,NaN
20200223_2015_DE5d,27,3,300000,15,5,0,1205,0,87,0,,NaN
