experiment_all,strains_all,radius_all,masscut_all,maxd_all,barrg_all,xmin_all,xmax_all,ymin_all,ymax_all,manually_changed,notes,exclude
20200220_2000_mreBa,0,3,300000,15,5,0,1205,781,903,0,,
20200220_2000_mreBa,1,3,300000,15,5,0,1205,781,903,0,,
20200220_2000_mreBa,2,3,300000,15,5,0,1205,781,903,0,,
20200220_2000_mreBa,3,3,300000,15,5,0,1205,781,903,0,,
20200220_2000_mreBa,4,3,300000,15,5,0,1205,781,903,0,,
20200220_2000_mreBa,5,3,300000,15,5,0,1205,781,903,0,,
20200220_2000_mreBa,6,3,300000,15,5,0,1205,781,903,0,,
20200220_2000_mreBa,7,3,300000,15,5,0,1205,500,903,1,out of focus,1
20200220_2000_mreBa,8,3,300000,15,5,0,1205,781,903,0,,
20200220_2000_mreBa,9,3,300000,15,5,0,1205,781,903,0,,
20200220_2000_mreBa,10,3,300000,15,5,0,1205,600,903,1,out of focus,1
20200220_2000_mreBa,11,3,300000,15,5,0,1205,781,903,0,,
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,
20200220_2000_mreBa,13,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,14,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,15,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,16,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,17,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,18,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,19,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,20,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,21,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,22,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,23,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,24,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,25,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,26,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,27,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,28,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,29,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,30,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,31,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,32,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,33,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,34,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,35,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,36,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,37,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,38,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,39,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,40,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,41,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,42,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,43,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,44,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,45,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,46,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,47,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,48,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,49,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,50,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,51,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,52,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,53,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,54,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,55,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,56,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,57,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,58,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,59,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,60,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,61,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,62,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,63,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,64,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,65,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,66,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,67,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,68,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,69,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,70,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,71,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,72,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,73,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,74,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,75,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,76,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,77,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,78,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,79,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,80,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,81,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,82,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,83,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,84,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,85,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,86,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,87,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,88,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,89,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,90,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,91,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,92,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,93,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,94,3,300000,15,5,0,1205,0,87,0,,
20200220_2000_mreBa,95,3,300000,15,5,0,1205,0,87,0,,
